mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11393876075744629,0.04435555694903693,0.004062271118164063,0.0005249123976057883,relu,0.0001,128,"(50,)",0.001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6419122561444659,0.5726378356220536,0.5082444673775943,0.5031799476243921,0.4617886178861788,0.537552624930937,0.06309126475849632,142
0.0677682876586914,0.02569915463563595,0.0038522720336914063,0.0002436201874007546,relu,0.0001,128,"(50,)",0.01,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6353630542467078,0.5967175142587436,0.6263198963411578,0.5054055939178349,0.47830817353461175,0.5684228464598112,0.06438241440598957,114
0.0939786434173584,0.05167419622282827,0.004157495498657226,0.00048816592467629537,relu,0.0001,128,"(100,)",0.001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6113203218586779,0.5607842048520014,0.612390698822368,0.5672486772486772,0.5349630536289043,0.5773413912821257,0.030182605863211812,101
0.09468493461608887,0.027297303711447538,0.003938102722167968,0.00027922863345149446,relu,0.0001,128,"(100,)",0.01,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6735273496029869,0.6491105709235497,0.6789238635794406,0.6685506163523872,0.5937574235255174,0.6527739647967763,0.03117625865897958,4
0.07158017158508301,0.00011389512805216794,0.0038671970367431642,0.00023520939112370613,relu,0.0001,128,"(50, 50)",0.001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.5682089909134386,0.5680823680823681,0.6189427103611346,0.591942395854096,0.5164887794198139,0.5727330489261703,0.033793033615964585,107
0.1110982894897461,0.016523065249107547,0.004045343399047852,0.00025116496461483897,relu,0.0001,128,"(50, 50)",0.01,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6591068202936687,0.6606437041219649,0.6185107376283847,0.6561297921358494,0.5411772216547498,0.6271136551669235,0.04571398866281805,32
0.11984291076660156,0.061633946545762146,0.004210853576660156,0.00010989845891540824,relu,0.0001,128,"(100, 50)",0.001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.5443455737978861,0.5136532982686829,0.6310088840209321,0.5272699066994658,0.4976713240186294,0.5427897973611192,0.04671296803604533,136
0.13256936073303222,0.03223626426991462,0.004465532302856445,0.0004090365564887054,relu,0.0001,128,"(100, 50)",0.01,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.689108187134503,0.5988851727982163,0.6310088840209321,0.6378956109643567,0.626291016675632,0.636637774318728,0.02938953927968608,18
0.22029623985290528,0.042619280784896164,0.004973316192626953,0.0010760880152181577,relu,0.001,32,"(50,)",0.001,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6291867308721241,0.5925767275092612,0.6086288173806108,0.6311305829378119,0.46900244656788076,0.5861050610535378,0.06024209870261965,91
0.19178590774536133,0.07133892671559333,0.003963088989257813,0.00016681728007465884,relu,0.001,32,"(50,)",0.01,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.675768942235559,0.6028807019771322,0.6350171670684491,0.654617210982294,0.541941575827118,0.6220451196181104,0.046689007055012235,36
